Date,Open,High,Low,Close,Volume,Adj Close
2015-01-23,33.80,33.80,33.34,33.37,25324200,33.37
2015-01-22,33.84,33.93,33.29,33.79,34756100,33.79
2015-01-21,33.81,34.23,33.65,34.00,34849300,34.00
2015-01-20,33.87,33.96,33.55,33.95,20257900,33.95
2015-01-16,33.14,33.86,33.14,33.80,37526900,33.80
2015-01-15,33.33,33.67,33.18,33.26,25800900,33.26
2015-01-14,33.28,33.45,33.04,33.33,22093500,33.33
2015-01-13,33.72,33.92,33.27,33.49,24260300,33.49
2015-01-12,33.59,33.76,33.48,33.49,20169900,33.49
2015-01-09,33.62,33.69,33.39,33.40,21492500,33.40
2015-01-08,33.24,33.58,33.15,33.50,22799800,33.50
2015-01-07,33.58,33.59,32.73,33.17,31660000,33.17
2015-01-06,33.77,33.81,33.35,33.60,29595800,33.13
2015-01-05,33.87,33.92,33.52,33.55,30429100,33.08
2015-01-02,33.59,33.97,33.59,33.87,20564000,33.40
2014-12-31,33.98,34.08,33.54,33.59,24178100,33.12
2014-12-30,34.09,34.20,34.03,34.08,12369700,33.60
2014-12-29,34.07,34.27,34.02,34.11,12708100,33.63
2014-12-26,34.05,34.23,33.98,34.17,11486800,33.69
2014-12-24,34.02,34.19,33.93,33.96,8831900,33.48
2014-12-23,34.07,34.16,33.91,34.03,19399200,33.55
2014-12-22,33.66,33.98,33.57,33.85,22690700,33.38
2014-12-19,33.48,33.76,33.35,33.54,40198300,33.07
2014-12-18,33.02,33.51,32.85,33.51,37622700,33.04
2014-12-17,32.22,32.80,32.16,32.67,28939700,32.21
2014-12-16,32.24,32.81,32.12,32.14,28952100,31.69
2014-12-15,32.32,32.44,32.07,32.25,29995700,31.80
2014-12-12,32.52,32.58,32.16,32.16,30070400,31.71
2014-12-11,32.62,33.05,32.57,32.71,28024700,32.25
2014-12-10,32.89,32.89,32.41,32.49,34766700,32.04
2014-12-09,33.31,33.33,32.40,32.89,59255500,32.43
2014-12-08,33.98,34.09,33.85,33.88,17080000,33.41
2014-12-05,33.88,33.95,33.72,33.94,18893400,33.47
2014-12-04,34.08,34.10,33.75,33.91,22992100,33.44
2014-12-03,34.25,34.26,33.92,34.00,30742700,33.52
2014-12-02,34.89,35.01,34.17,34.29,36826400,33.81
2014-12-01,35.28,35.37,34.91,35.06,19951000,34.57
2014-11-28,35.28,35.57,35.23,35.38,12650500,34.89
2014-11-26,34.89,35.20,34.86,35.13,14142900,34.64
2014-11-25,34.65,34.85,34.30,34.82,29342100,34.33
2014-11-24,34.98,35.10,34.22,34.70,36677200,34.21
2014-11-21,35.48,35.50,34.99,35.28,28261900,34.79
2014-11-20,35.35,35.44,35.19,35.28,12248600,34.79
2014-11-19,35.63,35.66,35.18,35.37,19341900,34.88
2014-11-18,35.77,35.87,35.62,35.72,17122500,35.22
2014-11-17,35.86,35.90,35.63,35.85,12957700,35.35
2014-11-14,35.64,36.15,35.60,35.90,20552800,35.40
2014-11-13,35.37,35.90,35.29,35.61,20900400,35.11
2014-11-12,35.05,35.44,34.96,35.40,18750000,34.90
2014-11-11,35.15,35.15,34.80,35.10,12293600,34.61
2014-11-10,35.06,35.14,34.66,35.12,17921700,34.63
2014-11-07,34.71,34.97,34.53,34.91,17983700,34.42
2014-11-06,34.90,34.95,34.52,34.72,17443700,34.23
2014-11-05,34.94,34.96,34.71,34.92,15587500,34.43
2014-11-04,34.97,35.08,34.64,34.79,17839600,34.30
2014-11-03,34.97,35.03,34.61,34.84,22213400,34.35
2014-10-31,34.76,34.85,34.58,34.84,24030300,34.35
2014-10-30,34.27,34.55,34.12,34.51,18481800,34.03
2014-10-29,34.40,34.65,34.17,34.40,22629600,33.92
2014-10-28,34.31,34.41,34.08,34.33,26016800,33.85
2014-10-27,33.88,34.24,33.86,34.11,25358800,33.63
2014-10-24,33.62,33.94,33.32,33.87,29835100,33.40
2014-10-23,34.04,34.11,33.45,33.66,55879200,33.19
2014-10-22,34.78,34.79,34.38,34.50,24963100,34.02
2014-10-21,34.27,34.66,34.09,34.62,21768900,34.14
2014-10-20,34.08,34.29,33.84,34.28,15258700,33.80
2014-10-17,33.76,34.20,33.66,34.08,24470600,33.60
2014-10-16,33.63,33.83,33.25,33.64,29219100,33.17
2014-10-15,33.68,33.98,33.10,33.87,48558700,33.40
2014-10-14,33.88,34.06,33.72,33.84,22636600,33.37
2014-10-13,34.17,34.34,33.82,33.82,23641800,33.35
2014-10-10,34.76,34.80,34.24,34.25,28941200,33.77
2014-10-09,35.10,35.22,34.60,34.66,21607500,34.18
2014-10-08,34.92,35.17,34.62,35.15,25150700,34.66
2014-10-07,35.53,35.61,35.31,35.33,21393600,34.38
2014-10-06,35.56,35.73,35.36,35.49,22122900,34.54
2014-10-03,35.26,36.16,35.08,35.36,20777600,34.41
2014-10-02,35.04,35.12,34.82,34.97,24826300,34.03
2014-10-01,35.09,35.23,34.93,34.96,28857900,34.02
2014-09-30,35.26,35.40,35.10,35.24,20015500,34.29
2014-09-29,35.14,35.27,34.97,35.23,14973000,34.28
2014-09-26,35.20,35.34,34.96,35.28,14351300,34.33
2014-09-25,35.42,35.43,34.98,35.08,21239000,34.14
2014-09-24,35.33,35.49,35.18,35.40,13312300,34.45
2014-09-23,35.46,35.51,35.23,35.26,16803200,34.31
2014-09-22,35.46,35.55,35.29,35.50,16421200,34.55
2014-09-19,35.35,35.48,35.23,35.47,21894300,34.52
2014-09-18,35.12,35.24,35.01,35.16,17230500,34.22
